,31-SP1,32-SP2,33-SP3,34-SP4,35-SP5,36,37,38,39,40
"Dodecanoic acid, TMS derivative (Lauric acid)",63647125,53363822,42269035,27253154,22631312,68697112,65815739,34480755,24341544,27752004
Methyl tetradecanoate,243835,145878,84805,2349590,120377,1191460,2490917,5309989,2399824,3461568
"Myristic acid, TMS derivative",45831503,36252024,25631582,39928775,38769138,51517088,45595262,22664587,12359952,17827825
"D-Mannose, 5TMS derivative",13138,14942,0,0,15688,5616,7450.2,0,0,0
"Pentadecanoic acid, TMS derivative",184968,120230,73358,101953,124406,196696,169143,53488,37436,68889
"Palmitoleic acid, TMS",431548,297418,175184,217434,342192,1165237,985466,123667,66065,97396
"Palmitic Acid, TMS derivative",14796114,11704215,8230280,11635770,12074669,17632179,16577772,9104982,5614998,8509344
"6-Octadecenoic acid, methyl ester, (Z)-",154603,86874,46521,1050505,63168,808061,1671248,4050884,1967034,3202060
"Heptadecanoic acid, TMS derivative",177855,115473,68685,140767,121549,198679,161470,105847,55096,105176
"Linoelaidic acid, trimethylsilyl ester",3580721,2255222,1345885,3182411,2210647,3494227,4140339,2928173,1844057,2160609
"9-Octadecenoic acid, (E)-, TMS derivative (Oleic acid)",7769195,6423099,5018195,5414525,6510165,8693144,8091715,4926191,3376789,4654239
"Stearic acid, TMS derivative",3073541,1985031,1416095,2221720,1979864,2396199,2218943,2244334,1293348,1964988
"11-Eicosenoic acid, (Z)-, TMS derivative",174576,128022,86253,143985,120852,144802,141222,137276,79163,117827
"Arachidic acid, TMS derivative",160840,85100,53559,114910,85941,89745,80528,97503,55372,88909
"Hexadecanedioic acid, 2TMS derivative",21996,23579,7733.3,0,10008,37844,18037,0,0,0
"Behenic acid, TMS derivative",60852,47297,30647,63245,43468,52794,47956,54364,32161,44047
"1-Monooleoylglycerol, 2TMS derivative",238413,134409,99175,136507,126109,156726,393628,113424,56861,70874
Squalene,97082,71319,54680,56434,79492,47174,45291,116041,34668,48022
"Lignoceric acid, TMS derivative",90022,61791,50872,86725,75498,77775,58624,88323,55786,64000
"Pentacosanoic acid, trimethylsilyl ester",16326,16767,14181,14672,15042,16604,12725,19243,12275,12402
"Gamma-Tocopherol, TMS derivative",98552,85089,69493,46880,87622,121067,81446,0,0,0
